130	17	124	9	1	1,2,4,8,13,21,31,46,62,78,93,103,111,116,120,122,123
130	17	120	9	1	1,2,4,8,13,21,35,45,60,75,85,99,107,112,116,118,119
130	17	126	9	1	1,2,4,8,13,21,35,45,63,81,91,105,113,118,122,124,125
130	17	124	9	1	1,2,4,8,13,21,37,47,62,77,87,103,111,116,120,122,123
130	17	128	9	1	1,2,4,8,13,21,39,49,64,79,89,107,115,120,124,126,127
130	17	124	9	1	1,2,4,8,13,23,31,48,62,76,93,101,111,116,120,122,123
130	17	128	9	1	1,2,4,8,13,23,31,48,64,80,97,105,115,120,124,126,127
130	17	128	9	1	1,2,4,8,13,23,31,51,64,77,97,105,115,120,124,126,127
130	17	122	9	1	1,2,4,8,13,23,36,53,61,69,86,99,109,114,118,120,121
130	17	130	8	-1	1,2,4,8,13,23,36,53,61,77,94,107,117,122,126,128,129
130	17	130	8	-1	1,2,4,8,13,23,36,53,69,77,94,107,117,122,126,128,129
130	17	126	9	1	1,2,4,8,13,23,37,55,63,71,89,103,113,118,122,124,125
130	17	126	9	1	1,2,4,8,13,26,34,49,63,77,92,100,113,118,122,124,125
130	17	126	9	1	1,2,4,8,13,26,34,53,63,73,92,100,113,118,122,124,125
130	17	130	9	1	1,2,4,8,13,26,36,57,65,73,94,104,117,122,126,128,129
130	17	126	9	1	1,2,4,8,13,26,40,55,63,71,86,100,113,118,122,124,125
130	17	130	9	1	1,2,4,8,13,27,35,45,65,85,95,103,117,122,126,128,129
130	17	111	8	-1	1,2,4,8,13,27,35,48,63,76,84,98,103,107,109,110,127
130	17	126	9	1	1,2,4,8,13,27,35,48,63,78,91,99,113,118,122,124,125
130	17	128	9	1	1,2,4,8,13,27,35,48,64,80,93,101,115,120,124,126,127
130	17	130	9	1	1,2,4,8,13,27,37,45,65,85,93,103,117,122,126,128,129
130	17	122	9	1	1,2,4,8,13,27,43,51,61,71,79,95,109,114,118,120,121
130	17	105	8	-1	1,2,4,8,13,28,38,46,59,67,77,92,97,101,103,104,120
130	17	118	9	1	1,2,4,8,13,28,38,51,59,67,80,90,105,110,114,116,117
130	17	122	9	1	1,2,4,8,13,30,38,51,61,71,84,92,109,114,118,120,121
130	17	111	8	-1	1,2,4,8,13,30,40,48,63,71,81,98,103,107,109,110,123
130	17	126	9	1	1,2,4,8,13,30,40,55,63,71,86,96,113,118,122,124,125
130	17	126	9	1	1,2,4,8,13,31,39,53,63,73,87,95,113,118,122,124,125
130	17	130	9	1	1,2,4,8,13,32,40,55,65,75,90,98,117,122,126,128,129
130	17	130	9	1	1,2,4,8,13,32,47,57,65,73,83,98,117,122,126,128,129
130	17	128	9	1	1,2,4,8,16,21,32,42,64,86,96,107,112,120,124,126,127
130	17	130	9	1	1,2,4,8,16,21,32,42,65,88,98,109,114,122,126,128,129
130	17	128	9	1	1,2,4,8,16,21,32,55,64,73,96,107,112,120,124,126,127
130	17	120	9	1	1,2,4,8,16,21,39,49,60,71,81,99,104,112,116,118,119
130	17	130	9	1	1,2,4,8,16,21,39,49,65,81,91,109,114,122,126,128,129
130	17	128	9	1	1,2,4,8,16,25,35,53,64,75,93,103,112,120,124,126,127
130	17	108	9	1	1,2,4,8,16,25,36,41,54,67,72,83,92,100,104,106,107
130	17	126	8	-1	1,2,4,8,16,25,36,41,54,85,90,101,110,118,122,124,125
130	17	126	9	1	1,2,4,8,16,25,36,41,63,85,90,101,110,118,122,124,125
130	17	126	8	-1	1,2,4,8,16,25,36,41,72,85,90,101,110,118,122,124,125
130	17	130	9	1	1,2,4,8,16,25,36,52,65,78,94,105,114,122,126,128,129
130	17	126	9	1	1,2,4,8,16,25,38,43,63,83,88,101,110,118,122,124,125
130	17	122	9	1	1,2,4,8,16,25,45,50,61,72,77,97,106,114,118,120,121
130	17	126	9	1	1,2,4,8,16,25,45,50,63,76,81,101,110,118,122,124,125
130	17	130	9	1	1,2,4,8,16,26,37,42,65,88,93,104,114,122,126,128,129
130	17	126	9	1	1,2,4,8,16,26,37,46,63,80,89,100,110,118,122,124,125
130	17	130	9	1	1,2,4,8,16,27,32,45,65,85,98,103,114,122,126,128,129
130	17	118	9	1	1,2,4,8,16,27,32,49,59,69,86,91,102,110,114,116,117
130	17	128	9	1	1,2,4,8,16,27,32,54,64,74,96,101,112,120,124,126,127
130	17	124	9	1	1,2,4,8,16,27,40,57,62,67,84,97,108,116,120,122,123
