# multiplicity_scan_summary  (random-restart hill-climb)
# columns: N <tab> |A| <tab> n* <tab> r(n*) <tab> 2r-|A| <tab> kept_count

## N=100  best_size=15  kept_unique=61  (restarts=100, t=1s)
  100	15	107	7	-1
  100	14	104	7	0
  100	14	95	7	0
  100	14	98	7	0
  100	14	103	7	0
  100	14	85	7	0
  100	14	102	7	0
  100	14	101	7	0
  100	14	93	7	0
  100	14	100	7	0
  100	14	112	7	0
  100	14	110	7	0
  100	14	106	7	0
  100	14	107	7	0
  100	14	102	7	0
  100	14	111	7	0
  100	14	94	7	0
  100	14	94	7	0
  100	14	95	7	0
  100	14	106	7	0
  100	14	105	7	0
  100	14	108	7	0
  100	14	101	7	0
  100	14	99	7	0
  100	14	93	7	0
  100	14	99	7	0
  100	14	110	7	0
  100	14	97	6	-2
  100	14	84	6	-2
  100	14	106	6	-2
  ... (31 more truncated)

## N=110  best_size=16  kept_unique=43  (restarts=80, t=1s)
  110	16	115	8	0
  110	16	115	8	0
  110	16	116	8	0
  110	15	114	8	1
  110	15	108	8	1
  110	15	112	7	-1
  110	15	112	7	-1
  110	15	104	7	-1
  110	14	124	7	0
  110	14	109	7	0
  110	14	114	7	0
  110	14	128	7	0
  110	14	112	7	0
  110	14	115	7	0
  110	14	106	7	0
  110	14	102	7	0
  110	14	109	7	0
  110	14	101	7	0
  110	14	116	7	0
  110	14	116	7	0
  110	14	99	7	0
  110	14	114	7	0
  110	14	99	7	0
  110	14	127	7	0
  110	14	111	7	0
  110	14	109	7	0
  110	14	119	7	0
  110	14	106	7	0
  110	14	109	7	0
  110	14	114	6	-2
  ... (13 more truncated)

## N=120  best_size=16  kept_unique=36  (restarts=60, t=1s)
  120	16	123	8	0
  120	16	120	8	0
  120	16	114	8	0
  120	15	113	7	-1
  120	15	122	7	-1
  120	15	128	7	-1
  120	15	125	7	-1
  120	14	118	7	0
  120	14	127	7	0
  120	14	108	7	0
  120	14	127	7	0
  120	14	118	7	0
  120	14	122	7	0
  120	14	86	6	-2
  120	14	164	6	-2
  120	14	146	6	-2
  120	14	107	6	-2
  120	14	149	6	-2
  120	14	137	6	-2
  120	14	129	6	-2
  120	14	113	6	-2
  120	14	127	6	-2
  120	14	130	6	-2
  120	14	85	6	-2
  120	14	130	6	-2
  120	14	128	6	-2
  120	14	94	6	-2
  120	14	118	6	-2
  120	14	68	6	-2
  120	14	101	6	-2
  ... (6 more truncated)

## N=150  best_size=17  kept_unique=17  (restarts=40, t=1s)
  150	17	166	8	-1
  150	16	144	8	0
  150	16	162	8	0
  150	16	145	8	0
  150	16	165	8	0
  150	16	150	8	0
  150	16	149	8	0
  150	16	153	8	0
  150	16	117	7	-2
  150	15	167	7	-1
  150	15	132	7	-1
  150	15	156	7	-1
  150	15	133	7	-1
  150	15	83	6	-3
  150	15	72	5	-5
  150	15	126	5	-5
  150	15	147	5	-5

## No anomalies (2r - |A| >= 2) found.
